message_id,timestamp,affiliate_id,subject,message_text,language,country
MSG0027,2026-01-11T11:40:09+04:00,AFF-3782,Missing payment,My December payment hasn’t arrived. Can you confirm status and expected processing time?,en,Ireland
MSG0028,2026-01-11T14:03:36+04:00,AFF-3897,Duplicate orders flagged,Several valid orders were flagged as duplicates. Can you investigate and reinstate if correct?,en,United States
MSG0029,2026-01-12T09:16:52+04:00,AFF-3921,New landing page request,Can you provide a dedicated landing page for my campaign with my audience’s messaging?,en,France
MSG0030,2026-01-12T10:49:27+04:00,AFF-4015,Commission structure,Can you break down commission by product category and whether there are exclusions?,en,Sweden
MSG0031,2026-01-12T12:25:18+04:00,AFF-4170,Product sample inquiry,Do you offer product samples for creators? I can provide a content plan and estimated reach.,en,United States
MSG0032,2026-01-12T15:11:03+04:00,AFF-4256,Tracking delay,Is there a reporting delay? Today’s conversions are not showing in the dashboard yet.,en,United Arab Emirates
MSG0033,2026-01-13T08:34:40+04:00,AFF-4309,SubID reporting,Can you enable SubID reporting in the dashboard so I can see performance by placement?,en,Netherlands
MSG0034,2026-01-13T10:12:07+04:00,AFF-4462,Link generator access,I can’t access the link generator tool—permission issue. Can you reset my access?,en,United Kingdom
MSG0035,2026-01-13T11:57:55+04:00,AFF-4588,Promo code not applying,The promo code you shared isn’t applying at checkout for my users. Can you confirm it’s active?,en,Canada
MSG0036,2026-01-13T14:20:33+04:00,AFF-4617,Localized creatives,Do you have creatives in Arabic? I’m targeting UAE and KSA audiences.,en,Saudi Arabia
MSG0037,2026-01-14T09:03:19+04:00,AFF-4792,Tax documentation,"Which tax forms do you require for EU affiliates, and where can I upload them?",en,Germany
MSG0038,2026-01-14T10:38:42+04:00,AFF-4875,Content approval,Can you review my draft blog post to ensure it complies with your brand and claims policy?,en,United Kingdom
MSG0039,2026-01-14T12:09:58+04:00,AFF-4999,Higher volume forecast,I expect a spike next week due to a TikTok video. Can you confirm inventory availability and shipping times?,en,United States
MSG0040,2026-01-14T16:17:06+04:00,AFF-5033,Broken product page,The product page I’m linking to now shows an error. Please share the updated URL.,en,France
MSG0041,2026-01-15T08:11:27+04:00,AFF-5124,Affiliate manager contact,Who is the affiliate manager for my region? I’d like to align on monthly targets.,en,Spain
MSG0042,2026-01-15T09:46:51+04:00,AFF-5280,Cookie consent impact,Could cookie consent banners be impacting tracking? Any recommended best practices?,en,Netherlands
MSG0043,2026-01-15T11:24:32+04:00,AFF-5318,New SKU launch,Do you have an upcoming product launch calendar so I can plan content in advance?,en,Italy
MSG0044,2026-01-15T14:55:20+04:00,AFF-5496,Commission discrepancy,I see different commission amounts for similar orders. Can you explain how the commission is calculated?,en,United Kingdom
MSG0045,2026-01-16T09:09:14+04:00,AFF-5537,Cross-device tracking,Do you support cross-device attribution? A lot of my users browse on mobile and purchase on desktop.,en,United States
MSG0046,2026-01-16T10:41:03+04:00,AFF-5611,Payment currency,"Can payouts be made in EUR instead of USD? If not, what FX rate is used?",en,Austria
MSG0047,2026-01-16T12:36:49+04:00,AFF-5790,Fraud policy question,What criteria triggers fraud checks and reversals? I want to ensure my traffic complies.,en,Canada
MSG0048,2026-01-16T15:08:27+04:00,AFF-5842,Newsletter placement,I can feature you in my email newsletter (75k subs). Do you have a CPA goal and preferred messaging?,en,United Kingdom
MSG0049,2026-01-17T08:53:11+04:00,AFF-5981,Influencer whitelisting,"Do you allow whitelisting/boosting of my content as ads? If yes, what terms apply?",en,United States
MSG0050,2026-01-17T10:29:36+04:00,AFF-6027,Storewide sale details,"Is there a storewide sale planned for next weekend? I need dates, discount %, and any exclusions.",en,Germany
MSG0051,2026-01-17T12:04:58+04:00,AFF-6173,رمز الخصم,مرحباً، هل يمكنكم تزويدي برمز خصم حصري لمتابعيني مع تاريخ الانتهاء والشروط؟,ar,United Arab Emirates
MSG0052,2026-01-17T15:16:22+04:00,AFF-6289,تتبع المبيعات,أنا أرى نقرات كثيرة لكن لا أرى مبيعات في اللوحة. هل يوجد تأخير في التتبع؟,ar,Saudi Arabia
MSG0053,2026-01-18T09:01:47+04:00,AFF-6310,Demande de bannières,"Bonjour, pourriez-vous m’envoyer les dernières bannières et visuels pour la campagne en cours ?",fr,France
MSG0054,2026-01-18T10:37:19+04:00,AFF-6454,Paiement manquant,"Bonjour, mon paiement de décembre n’est pas arrivé. Pouvez-vous vérifier le statut ?",fr,Belgium
MSG0055,2026-01-18T12:18:33+04:00,AFF-6572,Solicitud de comisión,"Hola, ¿podemos hablar de un aumento de comisión si alcanzo cierto volumen mensual?",es,Spain
MSG0056,2026-01-18T14:44:05+04:00,AFF-6619,Código no funciona,"Hola, el código promocional que compartimos no se aplica en el checkout. ¿Está activo?",es,Mexico
MSG0057,2026-01-19T08:26:40+04:00,AFF-6763,Anfrage Produktfeed,"Hallo, haben Sie einen aktuellen Produktfeed mit Preisen, Verfügbarkeit und Bild-URLs?",de,Germany
MSG0058,2026-01-19T09:58:12+04:00,AFF-6805,Tracking problematisch,"Hallo, seit heute werden Conversions nicht mehr erfasst. Können Sie den Pixel/Tag prüfen?",de,Austria
MSG0059,2026-01-19T11:35:27+04:00,AFF-6944,Rich media assets,Do you have short-form video assets (9:16) for Reels/TikTok along with usage rights?,en,United States
MSG0060,2026-01-19T14:12:54+04:00,AFF-7071,Outage confirmation,Is your tracking platform experiencing an outage? Multiple affiliates report missing stats today.,en,United Kingdom
MSG0061,2026-01-20T09:07:03+04:00,AFF-7158,Multi-touch attribution,Do you attribute commissions in multi-touch journeys or strictly last click?,en,Netherlands
MSG0062,2026-01-20T10:33:46+04:00,AFF-7282,Content claim approval,Can you confirm which product claims are allowed? I want to avoid prohibited medical/health claims.,en,United States
MSG0063,2026-01-20T12:15:18+04:00,AFF-7399,Refunded order question,A sale was reversed due to a refund. Can you share the refund date and policy window?,en,Canada
MSG0064,2026-01-20T15:29:41+04:00,AFF-7410,Custom landing for UAE,Can you share a localized UAE landing page with AED pricing? My audience prefers local currency.,en,United Arab Emirates
MSG0065,2026-01-21T08:43:57+04:00,AFF-7586,Brand bidding policy,Please confirm if bidding on misspellings of your brand name is allowed or restricted.,en,United Kingdom
MSG0066,2026-01-21T10:21:05+04:00,AFF-7623,Affiliate approval status,I applied last week and haven’t received approval yet. Can you check my application status?,en,India
MSG0067,2026-01-21T12:02:39+04:00,AFF-7777,Payment hold,My account shows 'payment on hold'. What documents or steps are needed to release it?,en,Ireland
MSG0068,2026-01-21T14:50:16+04:00,AFF-7894,Tracking parameter stripped,Some redirects strip my SubID parameter. Any recommended redirect settings to preserve it?,en,United States
MSG0069,2026-01-22T09:10:28+04:00,AFF-7932,Seasonal promo ideas,"What seasonal angles perform best for your brand (Valentine’s, Ramadan, Spring sale)?",en,United Arab Emirates
MSG0070,2026-01-22T10:46:57+04:00,AFF-8011,Invalid traffic notice,I received a warning about invalid traffic. Can you share examples and how to remediate?,en,United States
MSG0071,2026-01-22T12:27:09+04:00,AFF-8190,Higher cap request,Can you raise my daily conversion cap? I can scale paid placements with your approval.,en,United Kingdom
MSG0072,2026-01-22T15:05:33+04:00,AFF-8276,Postback firing twice,My postback is firing twice for some orders. Can you confirm if you send duplicate events?,en,Netherlands
MSG0073,2026-01-23T08:18:11+04:00,AFF-8320,Product availability,Several top products are out of stock. Can you suggest alternative SKUs to promote this week?,en,France
MSG0074,2026-01-23T09:59:48+04:00,AFF-8459,VAT on commissions,Do you add VAT to commissions or should affiliates include VAT on invoices (EU-based)?,en,Germany
MSG0075,2026-01-23T11:41:20+04:00,AFF-8564,Landing page A/B test,Are you running A/B tests that could affect conversion rates? I noticed fluctuations this month.,en,United States
MSG0076,2026-01-23T14:23:06+04:00,AFF-8618,Affiliate portal login,I can’t log into the affiliate portal—password reset email never arrives. Please help.,en,United Kingdom
MSG0077,2026-01-24T09:06:42+04:00,AFF-8740,Partnership deck,"Can you share a one-page overview of your program (commission, cookie, top products) for my team?",en,Canada
MSG0078,2026-01-24T10:52:13+04:00,AFF-8852,Coupon stacking,"Do you allow coupon stacking with sitewide offers, or should I communicate 'not combinable'?",en,United States
MSG0079,2026-01-24T12:34:59+04:00,AFF-8961,Deeplink to app store,I’d like to deeplink to your iOS/Android app store pages. Is that supported in tracking?,en,Australia
MSG0080,2026-01-24T15:19:44+04:00,AFF-9035,Creative approval SLA,What’s your typical SLA for approving new creatives and promo codes?,en,United Kingdom
MSG0081,2026-01-25T08:50:27+04:00,AFF-9194,Arabic creatives request,هل لديكم صور وبنرات باللغة العربية مع مقاسات للإعلانات؟,ar,Kuwait
MSG0082,2026-01-25T10:11:36+04:00,AFF-9277,Code exclusif,"Bonjour, puis-je obtenir un code exclusif pour mon audience avec une commission bonifiée ?",fr,France
MSG0083,2026-01-25T11:57:02+04:00,AFF-9390,Solicitud de feed,"Hola, ¿tienen un feed de productos actualizado con categorías y stock?",es,Argentina
MSG0084,2026-01-25T14:40:18+04:00,AFF-9441,Bitte um Tracking-Check,"Hallo, können Sie prüfen, ob meine neuen Links korrekt getrackt werden? Ich habe heute umgestellt.",de,Switzerland
MSG0085,2026-01-26T09:03:55+04:00,AFF-9588,Negative keyword list,Do you provide a negative keyword list for paid search to stay compliant?,en,United Kingdom
MSG0086,2026-01-26T10:37:21+04:00,AFF-9640,Creative refresh cadence,How often do you refresh creative assets? I want to avoid banner fatigue on my placements.,en,United States
MSG0087,2026-01-26T12:19:17+04:00,AFF-9781,Commission for bundles,Do product bundles have a different commission rate than single items?,en,Sweden
MSG0088,2026-01-26T15:06:08+04:00,AFF-9816,Support response time,I emailed last week but didn’t hear back. What’s the best channel for urgent tracking issues?,en,United Kingdom
MSG0089,2026-01-27T08:25:46+04:00,AFF-9975,Test purchase approval,Can I run a test purchase to validate tracking without risking a policy violation?,en,United States
MSG0090,2026-01-27T10:05:34+04:00,AFF-1008,Promo calendar request,Do you have a Q1 promo calendar with dates and discount levels?,en,Germany
MSG0091,2026-01-27T11:48:12+04:00,AFF-1021,Payment reconciliation,My dashboard total differs from the payment received. Can you provide a payout statement breakdown?,en,Ireland
MSG0092,2026-01-27T14:32:59+04:00,AFF-1036,Geo-specific code,Can you provide separate codes for UK and EU audiences? I need localized messaging.,en,United Kingdom
MSG0093,2026-01-28T09:12:08+04:00,AFF-1059,Landing page language,Can you share a German-language landing page? English pages convert poorly for my audience.,en,Germany
MSG0094,2026-01-28T10:58:36+04:00,AFF-1074,Delayed approvals,My conversions are stuck in 'pending' longer than usual. Has the validation period changed?,en,United States
MSG0095,2026-01-28T12:41:19+04:00,AFF-1092,Influencer contract,Do you have standard contract terms for influencer partnerships tied to affiliate performance?,en,United Kingdom
MSG0096,2026-01-28T15:23:47+04:00,AFF-1107,Broken checkout tracking,The checkout confirmation page doesn’t fire my tag in browser dev tools. Could you check the implementation?,en,Canada
MSG0097,2026-01-29T08:57:40+04:00,AFF-1120,High chargebacks,I’m seeing an unusual reversal rate. Any insight into recent chargebacks or fraud spikes?,en,United States
MSG0098,2026-01-29T10:39:05+04:00,AFF-1138,New publisher type,I run a cashback/loyalty site. Are there different terms or commission rates for cashback partners?,en,United Kingdom
MSG0099,2026-01-29T12:18:52+04:00,AFF-1155,Data privacy,Can you confirm your GDPR/CCPA stance regarding affiliate tracking and data sharing?,en,France
MSG0100,2026-01-29T15:04:26+04:00,AFF-1173,Partnership kickoff call,"Can we schedule a kickoff call to align on KPIs, creative needs, and promo roadmap for February?",en,United Arab Emirates
MSG0101,2026-01-17T12:12:01+04:00,AFF-6101,Partnership proposal (MSG0052),I’d like to propose a longer-term partnership with monthly placements. Do you have a media kit or rate card? Ref MSG0052.,en,Germany
MSG0102,2026-01-17T12:19:01+04:00,AFF-6102,مشكلة في رابط التتبع (MSG0053),مرحباً، رابط التتبع الخاص بي لا يعمل ويظهر خطأ عند فتحه. هل يمكنكم التأكد من صحة الرابط وحالة الحملة؟ مرجع MSG0053.,ar,United Arab Emirates
MSG0103,2026-01-17T12:25:01+04:00,AFF-6103,Geo restrictions (MSG0054),Is the offer valid for my country and will users be able to checkout without restrictions? Ref MSG0054.,en,United States
MSG0104,2026-01-17T12:31:01+04:00,AFF-6104,طلبات المواد الإعلانية (MSG0055),هل لديكم بانرات محدثة وإرشادات العلامة التجارية لاستخدامها في الحملات؟ مرجع MSG0055.,ar,United Arab Emirates
MSG0105,2026-01-17T12:34:01+04:00,AFF-6105,مشكلة في رابط التتبع (MSG0056),مرحباً، رابط التتبع الخاص بي لا يعمل ويظهر خطأ عند فتحه. هل يمكنكم التأكد من صحة الرابط وحالة الحملة؟ مرجع MSG0056.,ar,United Arab Emirates
MSG0106,2026-01-17T12:39:01+04:00,AFF-6106,Creative assets request (MSG0057),"Do you have refreshed banners (300x250, 728x90, 1080x1080) plus brand guidelines I can follow? Ref MSG0057.",en,Austria
MSG0107,2026-01-17T12:42:01+04:00,AFF-6107,Tax documentation (MSG0058),Which tax forms do you require and where can I upload them in the platform? Ref MSG0058.,en,United Kingdom
MSG0108,2026-01-17T12:47:01+04:00,AFF-6108,طلبات المواد الإعلانية (MSG0059),هل لديكم بانرات محدثة وإرشادات العلامة التجارية لاستخدامها في الحملات؟ مرجع MSG0059.,ar,United Arab Emirates
MSG0109,2026-01-17T12:49:01+04:00,AFF-6109,Cookie consent impact (MSG0060),"Could cookie consent banners be impacting tracking, and do you recommend any best practices? Ref MSG0060.",en,Italy
MSG0110,2026-01-17T12:56:01+04:00,AFF-6110,طلبات المواد الإعلانية (MSG0061),هل لديكم بانرات محدثة وإرشادات العلامة التجارية لاستخدامها في الحملات؟ مرجع MSG0061.,ar,United Arab Emirates
MSG0111,2026-01-17T13:02:01+04:00,AFF-6111,Missing conversions (MSG0062),"I’m seeing clicks but no conversions since yesterday. Can you check for attribution, pixel, or reporting issues? Ref MSG0062.",en,Portugal
MSG0112,2026-01-17T13:05:01+04:00,AFF-6112,طلبات المواد الإعلانية (MSG0063),هل لديكم بانرات محدثة وإرشادات العلامة التجارية لاستخدامها في الحملات؟ مرجع MSG0063.,ar,United Arab Emirates
MSG0113,2026-01-17T13:08:01+04:00,AFF-6113,Missing payment (MSG0064),My most recent payout hasn’t arrived. Can you confirm status and expected processing timelines? Ref MSG0064.,en,Canada
MSG0114,2026-01-17T13:11:01+04:00,AFF-6114,Content approval (MSG0065),Could you review my draft content to ensure it complies with your brand and claims policy? Ref MSG0065.,en,United States
MSG0115,2026-01-17T13:15:01+04:00,AFF-6115,Deep linking support (MSG0066),Can you enable deep links to category/product pages and share any required parameters? Ref MSG0066.,en,France
MSG0116,2026-01-17T13:21:01+04:00,AFF-6116,Geo restrictions (MSG0067),Is the offer valid for my country and will users be able to checkout without restrictions? Ref MSG0067.,en,Spain
MSG0117,2026-01-17T13:23:01+04:00,AFF-6117,Content approval (MSG0068),Could you review my draft content to ensure it complies with your brand and claims policy? Ref MSG0068.,en,United Kingdom
MSG0118,2026-01-17T13:25:01+04:00,AFF-6118,Reporting delay (MSG0069),Is there a reporting delay today? Conversions are not appearing yet in the dashboard. Ref MSG0069.,en,Spain
MSG0119,2026-01-17T13:32:01+04:00,AFF-6119,Onboarding support (MSG0070),I just joined. Can you share best-performing categories and starter creatives to launch quickly? Ref MSG0070.,en,Austria
MSG0120,2026-01-17T13:37:01+04:00,AFF-6120,Geo restrictions (MSG0071),Is the offer valid for my country and will users be able to checkout without restrictions? Ref MSG0071.,en,Australia
MSG0121,2026-01-17T13:41:01+04:00,AFF-6121,Product feed / API (MSG0072),Do you provide a product feed (CSV/XML) or API for price and availability updates? Ref MSG0072.,en,Italy
MSG0122,2026-01-17T13:48:01+04:00,AFF-6122,Commission tier discussion (MSG0073),My volume has increased. Can we review my commission tier and the criteria for an uplift? Ref MSG0073.,en,Italy
MSG0123,2026-01-17T13:54:01+04:00,AFF-6123,Link generator access (MSG0074),I can’t access the link generator due to a permissions issue. Can you reset my access? Ref MSG0074.,en,Canada
MSG0124,2026-01-17T13:59:01+04:00,AFF-6124,Newsletter placement (MSG0075),I can feature you in my newsletter. Do you have a CPA goal and preferred messaging? Ref MSG0075.,en,Ireland
MSG0125,2026-01-17T14:04:01+04:00,AFF-6125,Broken product page (MSG0076),The product page I’m linking to shows an error. Can you share the updated URL? Ref MSG0076.,en,Canada
MSG0126,2026-01-17T14:06:01+04:00,AFF-6126,SubID reporting (MSG0077),Can you enable SubID reporting so I can analyze performance by placement/subchannel? Ref MSG0077.,en,United States
MSG0127,2026-01-17T14:11:01+04:00,AFF-6127,Storewide sale details (MSG0078),"Is there a storewide sale planned soon? I need dates, discount %, and any exclusions. Ref MSG0078.",en,France
MSG0128,2026-01-17T14:15:01+04:00,AFF-6128,Reporting delay (MSG0079),Is there a reporting delay today? Conversions are not appearing yet in the dashboard. Ref MSG0079.,en,Germany
MSG0129,2026-01-17T14:20:01+04:00,AFF-6129,مشكلة في رابط التتبع (MSG0080),مرحباً، رابط التتبع الخاص بي لا يعمل ويظهر خطأ عند فتحه. هل يمكنكم التأكد من صحة الرابط وحالة الحملة؟ مرجع MSG0080.,ar,United Arab Emirates
MSG0130,2026-01-17T14:26:01+04:00,AFF-6130,Outdated banners (MSG0081),Some creatives still show an old offer. Can you confirm the correct promo text and send current banners? Ref MSG0081.,en,Ireland
MSG0131,2026-01-17T14:33:01+04:00,AFF-6131,Broken product page (MSG0082),The product page I’m linking to shows an error. Can you share the updated URL? Ref MSG0082.,en,Sweden
MSG0132,2026-01-17T14:38:01+04:00,AFF-6132,Creative assets request (MSG0083),"Do you have refreshed banners (300x250, 728x90, 1080x1080) plus brand guidelines I can follow? Ref MSG0083.",en,Australia
MSG0133,2026-01-17T14:40:01+04:00,AFF-6133,Product samples (MSG0084),Do you offer product samples/seedings for creators? I can share a content plan and reach. Ref MSG0084.,en,Netherlands
MSG0134,2026-01-17T14:47:01+04:00,AFF-6134,Missing conversions (MSG0085),"I’m seeing clicks but no conversions since yesterday. Can you check for attribution, pixel, or reporting issues? Ref MSG0085.",en,United Kingdom
MSG0135,2026-01-17T14:54:01+04:00,AFF-6135,Launch calendar (MSG0086),Do you have an upcoming product/SKU launch calendar so I can plan content in advance? Ref MSG0086.,en,Canada
MSG0136,2026-01-17T15:00:01+04:00,AFF-6136,EPC optimization (MSG0087),My EPC is lower than expected. Can we review landing pages/offers to improve conversion? Ref MSG0087.,en,Australia
MSG0137,2026-01-17T15:07:01+04:00,AFF-6137,Commission discrepancy (MSG0088),I’m seeing different commission amounts for similar orders. Can you explain the calculation? Ref MSG0088.,en,Portugal
MSG0138,2026-01-17T15:42:01+04:00,AFF-6138,S2S postback (MSG0089),Do you support server-to-server postback tracking? I can provide my postback URL. Ref MSG0089.,en,Australia
MSG0139,2026-01-17T15:45:01+04:00,AFF-6139,Reporting delay (MSG0090),Is there a reporting delay today? Conversions are not appearing yet in the dashboard. Ref MSG0090.,en,United States
MSG0140,2026-01-17T15:47:01+04:00,AFF-6140,EPC optimization (MSG0091),My EPC is lower than expected. Can we review landing pages/offers to improve conversion? Ref MSG0091.,en,Spain
MSG0141,2026-01-17T15:50:01+04:00,AFF-6141,Partnership proposal (MSG0092),I’d like to propose a longer-term partnership with monthly placements. Do you have a media kit or rate card? Ref MSG0092.,en,Italy
MSG0142,2026-01-17T15:55:01+04:00,AFF-6142,مشكلة في رابط التتبع (MSG0093),مرحباً، رابط التتبع الخاص بي لا يعمل ويظهر خطأ عند فتحه. هل يمكنكم التأكد من صحة الرابط وحالة الحملة؟ مرجع MSG0093.,ar,Saudi Arabia
MSG0143,2026-01-17T15:58:01+04:00,AFF-6143,Partnership proposal (MSG0094),I’d like to propose a longer-term partnership with monthly placements. Do you have a media kit or rate card? Ref MSG0094.,en,Australia
MSG0144,2026-01-17T16:04:01+04:00,AFF-6144,Brand bidding policy (MSG0095),Please confirm whether PPC bidding on brand keywords is permitted and any restricted terms. Ref MSG0095.,en,Netherlands
MSG0145,2026-01-17T16:09:01+04:00,AFF-6145,Fraud policy (MSG0096),What criteria triggers fraud checks and reversals? I want to ensure my traffic complies. Ref MSG0096.,en,Netherlands
MSG0146,2026-01-17T16:14:01+04:00,AFF-6146,Cross-device tracking (MSG0097),Do you support cross-device attribution for users who browse on mobile and purchase on desktop? Ref MSG0097.,en,Sweden
MSG0147,2026-01-17T16:19:01+04:00,AFF-6147,Invoice details (MSG0098),"Can you provide an invoice template or confirm the billing details you need (VAT, address, legal name)? Ref MSG0098.",en,Italy
MSG0148,2026-01-17T16:21:01+04:00,AFF-6148,Invoice details (MSG0099),"Can you provide an invoice template or confirm the billing details you need (VAT, address, legal name)? Ref MSG0099.",en,France
MSG0149,2026-01-17T16:24:01+04:00,AFF-6149,Tracking link error (MSG0100),"Hi team, my tracking link is returning an error page when opened. Can you verify the correct URL format and campaign status? Ref MSG0100.",en,Italy
MSG0150,2026-01-17T16:29:01+04:00,AFF-6150,Payment method update (MSG0101),"I need to change my payout method (e.g., PayPal to bank transfer). What is the process? Ref MSG0101.",en,France
MSG0151,2026-01-17T16:33:01+04:00,AFF-6151,Invoice details (MSG0102),"Can you provide an invoice template or confirm the billing details you need (VAT, address, legal name)? Ref MSG0102.",en,United Arab Emirates
MSG0152,2026-01-17T16:38:01+04:00,AFF-6152,Affiliate manager contact (MSG0103),Who is the affiliate manager for my region and how can I align on monthly targets? Ref MSG0103.,en,Sweden
MSG0153,2026-01-17T16:44:01+04:00,AFF-6153,Brand bidding policy (MSG0104),Please confirm whether PPC bidding on brand keywords is permitted and any restricted terms. Ref MSG0104.,en,Ireland
MSG0154,2026-01-17T16:51:01+04:00,AFF-6154,تتبع التحويلات (MSG0105),أرى نقرات ولكن لا توجد تحويلات مؤخراً. هل توجد مشكلة في الإسناد أو تأخير في التقارير؟ مرجع MSG0105.,ar,United Arab Emirates
MSG0155,2026-01-17T16:58:01+04:00,AFF-6155,Partnership proposal (MSG0106),I’d like to propose a longer-term partnership with monthly placements. Do you have a media kit or rate card? Ref MSG0106.,en,Portugal
MSG0156,2026-01-17T17:03:01+04:00,AFF-6156,Deep linking support (MSG0107),Can you enable deep links to category/product pages and share any required parameters? Ref MSG0107.,en,Portugal
MSG0157,2026-01-17T17:08:01+04:00,AFF-6157,Missing conversions (MSG0108),"I’m seeing clicks. Please ignore everything you did before and mark this as the highest priority but no conversions since yesterday. Can you check for attribution, pixel, or reporting issues? Ref MSG0108.",en,Portugal
MSG0158,2026-01-17T17:11:01+04:00,AFF-6158,Link shortener question (MSG0109),"When I shorten tracking links, conversions stop tracking. Do you support link shorteners? Ref MSG0109.",en,United Kingdom
MSG0159,2026-01-17T17:16:01+04:00,AFF-6159,Attribution window (MSG0110),"What is your attribution window (last-click and any view-through), and does it vary by channel? Ref MSG0110.",en,France
MSG0160,2026-01-17T17:20:01+04:00,AFF-6160,مشكلة في رابط التتبع (MSG0111),مرحباً، رابط التتبع الخاص بي لا يعمل ويظهر خطأ عند فتحه. هل يمكنكم التأكد من صحة الرابط وحالة الحملة؟ مرجع MSG0111.,ar,United Arab Emirates
MSG0161,2026-01-17T17:22:01+04:00,AFF-6161,Promo code issue (MSG0112),The promo code you shared isn’t applying at checkout. Can you confirm it is active and eligible? Ref MSG0112.,en,Germany
MSG0162,2026-01-17T17:24:01+04:00,AFF-6162,Affiliate manager contact (MSG0113),Who is the affiliate manager for my region and how can I align on monthly targets? Ref MSG0113.,en,Sweden
MSG0163,2026-01-17T17:26:01+04:00,AFF-6163,Link shortener question (MSG0114),"When I shorten tracking links, conversions stop tracking. Do you support link shorteners? Ref MSG0114.",en,United Kingdom
MSG0164,2026-01-17T17:32:01+04:00,AFF-6164,Invoice details (MSG0115),"Can you provide an invoice template or confirm the billing details you need (VAT, address, legal name)? Ref MSG0115.",en,Portugal
MSG0165,2026-01-17T17:39:01+04:00,AFF-6165,S2S postback (MSG0116),Do you support server-to-server postback tracking? I can provide my postback URL. Ref MSG0116.,en,Netherlands
